time,turnAngle,speed2d,alpha,alphaTarget,bRight,actorYaw,smState
194.304,0.0,0.0,1.000,1.000,1,-90.2,0
194.332,0.0,0.0,1.000,1.000,1,-90.2,0
194.360,0.0,0.0,1.000,1.000,1,-90.2,0
194.387,0.0,0.0,1.000,1.000,1,-90.2,0
194.420,0.0,0.0,1.000,1.000,1,-90.2,0
194.452,0.0,0.0,1.000,1.000,1,-90.2,0
194.479,0.0,0.0,1.000,1.000,1,-90.2,0
194.510,0.0,0.0,1.000,1.000,1,-90.2,0
194.539,0.0,0.0,1.000,1.000,1,-90.2,0
194.567,0.0,0.0,1.000,1.000,1,-90.2,0
194.594,0.0,0.0,1.000,1.000,1,-90.2,0
194.621,0.0,0.0,1.000,1.000,1,-90.2,0
194.650,0.0,0.0,1.000,1.000,1,-90.2,0
194.678,0.0,0.0,1.000,1.000,1,-90.2,0
194.707,0.0,0.0,1.000,1.000,1,-90.2,0
194.735,0.0,0.0,1.000,1.000,1,-90.2,0
194.763,0.0,0.0,1.000,1.000,1,-90.2,0
194.792,0.0,0.0,1.000,1.000,1,-90.2,0
194.820,0.0,0.0,1.000,1.000,1,-90.2,0
194.849,0.0,0.0,1.000,1.000,1,-90.2,0
194.877,0.0,0.0,1.000,1.000,1,-90.2,0
194.905,0.0,0.0,1.000,1.000,1,-90.2,0
194.933,0.0,0.0,1.000,1.000,1,-90.2,0
194.962,0.0,0.0,1.000,1.000,1,-90.2,0
194.990,0.0,0.0,1.000,1.000,1,-90.2,0
195.020,0.0,0.0,1.000,1.000,1,-90.2,0
195.062,0.0,0.0,1.000,1.000,1,-90.2,0
195.090,0.0,0.0,1.000,1.000,1,-90.2,0
195.119,0.0,0.0,1.000,1.000,1,-90.2,0
195.147,0.0,0.0,1.000,1.000,1,-90.2,0
195.176,0.0,0.0,1.000,1.000,1,-90.2,0
195.203,0.0,0.0,1.000,1.000,1,-90.2,0
195.231,0.0,0.0,1.000,1.000,1,-90.2,0
195.259,0.0,0.0,1.000,1.000,1,-90.2,0
195.287,0.0,0.0,1.000,1.000,1,-90.2,0
195.316,0.0,0.0,1.000,1.000,1,-90.2,0
195.345,0.0,0.0,1.000,1.000,1,-90.2,0
195.374,0.0,0.0,1.000,1.000,1,-90.2,0
195.405,0.0,0.0,1.000,1.000,1,-90.2,0
195.434,0.0,0.0,1.000,1.000,1,-90.2,0
195.463,0.0,0.0,1.000,1.000,1,-90.2,0
195.492,0.0,0.0,1.000,1.000,1,-90.2,0
195.521,0.0,0.0,1.000,1.000,1,-90.2,0
195.550,0.0,0.0,1.000,1.000,1,-90.2,0
195.578,0.0,0.0,1.000,1.000,1,-90.2,0
195.611,0.0,0.0,1.000,1.000,1,-90.2,0
195.650,0.0,0.0,1.000,1.000,1,-90.2,0
195.681,0.0,0.0,1.000,1.000,1,-90.2,0
195.711,0.0,0.0,1.000,1.000,1,-90.2,0
195.739,0.0,0.0,1.000,1.000,1,-90.2,0
195.768,0.0,0.0,1.000,1.000,1,-90.2,0
195.797,0.0,0.0,1.000,1.000,1,-90.2,0
195.825,0.0,0.0,1.000,1.000,1,-90.2,0
195.854,0.0,0.0,1.000,1.000,1,-90.2,0
195.884,0.0,0.0,1.000,1.000,1,-90.2,0
195.914,0.0,0.0,1.000,1.000,1,-90.2,0
195.942,0.0,0.0,1.000,1.000,1,-90.2,0
195.971,0.0,0.0,1.000,1.000,1,-90.2,0
195.999,0.0,0.0,1.000,1.000,1,-90.2,0
196.028,0.0,0.0,1.000,1.000,1,-90.2,0
196.056,0.0,0.0,1.000,1.000,1,-90.2,0
196.084,0.0,0.0,1.000,1.000,1,-90.2,0
196.113,0.0,0.0,1.000,1.000,1,-90.2,0
196.142,0.0,0.0,1.000,1.000,1,-90.2,0
196.170,0.0,0.0,1.000,1.000,1,-90.2,0
196.199,0.0,0.0,1.000,1.000,1,-90.2,0
196.227,0.0,0.0,1.000,1.000,1,-90.2,0
196.254,0.0,0.0,1.000,1.000,1,-90.2,0
196.282,0.0,0.0,1.000,1.000,1,-90.2,0
196.311,0.0,0.0,1.000,1.000,1,-90.2,0
196.339,0.0,0.0,1.000,1.000,1,-90.2,0
196.368,0.0,0.0,1.000,1.000,1,-90.2,0
196.396,0.0,0.0,1.000,1.000,1,-90.2,0
196.425,0.0,0.0,1.000,1.000,1,-90.2,0
196.454,0.0,0.0,1.000,1.000,1,-90.2,0
196.483,0.0,0.0,1.000,1.000,1,-90.2,0
196.511,0.0,0.0,1.000,1.000,1,-90.2,0
196.540,0.0,0.0,1.000,1.000,1,-90.2,0
196.568,0.0,0.0,1.000,1.000,1,-90.2,0
196.596,0.0,0.0,1.000,1.000,1,-90.2,0
196.625,0.0,0.0,1.000,1.000,1,-90.2,0
196.653,0.0,0.0,1.000,1.000,1,-90.2,0
196.681,0.0,0.0,1.000,1.000,1,-90.2,0
196.710,0.0,0.0,1.000,1.000,1,-90.2,0
196.738,0.0,0.0,1.000,1.000,1,-90.2,0
196.767,0.0,0.0,1.000,1.000,1,-90.2,0
196.794,0.0,0.0,1.000,1.000,1,-90.2,0
196.822,0.0,0.0,1.000,1.000,1,-90.2,0
196.853,0.0,0.0,1.000,1.000,1,-90.2,0
196.889,0.0,0.0,1.000,1.000,1,-90.2,0
196.919,0.0,0.0,1.000,1.000,1,-90.2,0
196.947,0.0,0.0,1.000,1.000,1,-90.2,0
196.976,0.0,0.0,1.000,1.000,1,-90.2,0
197.004,0.0,0.0,1.000,1.000,1,-90.2,0
197.033,0.0,0.0,1.000,1.000,1,-90.2,0
197.061,0.0,0.0,1.000,1.000,1,-90.2,0
197.095,0.0,0.0,1.000,1.000,1,-90.2,0
197.124,0.0,0.0,1.000,1.000,1,-90.2,0
197.155,0.0,0.0,1.000,1.000,1,-90.2,0
197.191,0.0,0.0,1.000,1.000,1,-90.2,0
197.224,0.0,0.0,1.000,1.000,1,-90.2,0
197.254,0.0,0.0,1.000,1.000,1,-90.2,0
197.287,0.0,0.0,1.000,1.000,1,-90.2,0
197.320,0.0,0.0,1.000,1.000,1,-90.2,0
197.351,0.0,0.0,1.000,1.000,1,-90.2,0
197.384,0.0,0.0,1.000,1.000,1,-90.2,0
197.415,0.0,0.0,1.000,1.000,1,-90.2,0
197.446,0.0,0.0,1.000,1.000,1,-90.2,0
