time,turnAngle,speed2d,alpha,alphaTarget,bRight,actorYaw,smState,futSpd,futDot,blockT
1494.381,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1494.410,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1494.441,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1494.470,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1494.500,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1494.529,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1494.557,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1494.587,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1494.616,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1494.646,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1494.675,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1494.709,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1494.738,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1494.767,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1494.798,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1494.827,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1494.857,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1494.888,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1494.918,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1494.948,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1494.977,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1495.008,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1495.038,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1495.068,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1495.105,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1495.137,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1495.170,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1495.201,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1495.230,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1495.259,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1495.288,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1495.319,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1495.352,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1495.382,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1495.412,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1495.441,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1495.470,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1495.499,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1495.527,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1495.556,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1495.587,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1495.621,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1495.655,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1495.690,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1495.728,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1495.760,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1495.790,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1495.826,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1495.855,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1495.883,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1495.913,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1495.950,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1495.983,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1496.012,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1496.042,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1496.072,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
