time,alpha,bF,bR,walkMode,sideRotW,handRollX
291.542,1.00,0,0,3,0.500,75.8
291.569,1.00,0,0,3,0.500,76.0
291.597,1.00,0,0,3,0.500,76.3
291.625,1.00,0,0,3,0.500,76.5
291.653,1.00,0,0,3,0.500,76.8
291.683,1.00,0,0,3,0.500,77.0
291.712,1.00,0,0,3,0.500,77.2
291.740,1.00,0,0,3,0.500,77.5
291.769,1.00,0,0,3,0.500,77.8
291.797,1.00,0,0,3,0.500,78.0
291.826,1.00,0,0,3,0.500,78.2
291.854,1.00,0,0,3,0.500,78.4
291.883,1.00,0,0,3,0.500,78.6
291.911,1.00,0,0,3,0.500,78.7
291.940,1.00,0,0,3,0.500,78.8
291.968,1.00,0,0,3,0.500,78.8
291.996,1.00,0,0,3,0.500,78.9
292.023,1.00,0,0,3,0.500,78.9
292.051,1.00,0,0,3,0.500,78.9
292.079,1.00,0,0,3,0.500,78.8
292.108,1.00,0,0,3,0.500,78.8
292.137,1.00,0,0,3,0.500,78.8
292.167,1.00,0,0,3,0.500,78.7
292.196,1.00,0,0,3,0.500,78.6
292.225,1.00,0,0,3,0.500,78.3
292.253,1.00,0,0,3,0.500,78.1
292.281,1.00,0,0,3,0.500,77.8
292.310,1.00,0,0,3,0.500,77.6
292.339,1.00,0,0,3,0.500,77.3
292.367,1.00,0,0,3,0.500,77.1
292.397,1.00,0,0,3,0.500,77.0
292.425,1.00,0,0,3,0.500,76.8
292.454,1.00,0,0,3,0.500,76.7
292.482,1.00,0,0,3,0.500,76.6
292.511,1.00,0,0,3,0.500,76.5
292.539,1.00,0,0,3,0.500,76.4
292.570,1.00,0,0,3,0.500,76.4
292.599,1.00,0,0,3,0.500,76.3
292.627,1.00,0,0,3,0.500,76.2
292.655,1.00,0,0,3,0.500,76.1
292.684,1.00,0,0,3,0.500,76.0
292.713,1.00,0,0,3,0.500,76.0
292.741,1.00,0,0,3,0.500,75.9
292.770,1.00,0,0,3,0.500,75.8
292.798,1.00,0,0,3,0.500,75.7
292.827,1.00,0,0,3,0.500,75.5
292.855,1.00,0,0,3,0.500,75.3
292.883,1.00,0,0,3,0.500,75.0
292.912,1.00,0,0,3,0.500,74.9
292.939,1.00,0,0,3,0.500,74.8
292.968,1.00,0,0,3,0.500,74.7
292.997,1.00,0,0,3,0.500,74.7
293.025,1.00,0,0,3,0.500,74.7
293.054,1.00,0,0,3,0.500,74.8
293.083,1.00,0,0,3,0.500,74.8
293.111,1.00,0,0,3,0.500,74.9
293.139,1.00,0,0,3,0.500,75.0
293.167,1.00,0,0,3,0.500,75.0
293.197,1.00,0,0,3,0.500,75.1
293.227,1.00,0,0,3,0.500,75.2
293.255,1.00,0,0,3,0.500,75.3
293.284,1.00,0,0,3,0.500,75.4
293.313,1.00,0,0,3,0.500,75.4
293.342,1.00,0,0,3,0.500,75.4
293.370,1.00,0,0,3,0.500,75.4
293.398,1.00,0,0,3,0.500,75.4
293.426,1.00,0,0,3,0.500,75.3
293.455,1.00,0,0,3,0.500,75.2
293.484,1.00,0,0,3,0.500,75.1
293.512,1.00,0,0,3,0.500,75.0
293.540,1.00,0,0,3,0.500,74.8
293.579,1.00,0,0,3,0.500,74.6
293.608,1.00,0,0,3,0.500,74.3
293.636,1.00,0,0,3,0.500,74.2
293.665,1.00,0,0,3,0.500,73.9
293.694,1.00,0,0,3,0.500,73.7
293.722,1.00,0,0,3,0.500,73.4
293.752,1.00,0,0,3,0.500,73.1
293.782,1.00,0,0,3,0.500,72.9
293.811,1.00,0,0,3,0.500,72.6
293.838,1.00,0,0,3,0.500,72.4
293.867,1.00,0,0,3,0.500,72.2
293.896,1.00,0,0,3,0.500,72.0
293.925,1.00,0,0,3,0.500,71.8
293.954,1.00,0,0,3,0.500,71.7
293.983,1.00,0,0,3,0.500,71.5
294.012,1.00,0,0,3,0.500,71.3
294.040,1.00,0,0,3,0.500,71.1
294.070,1.00,0,0,3,0.500,70.9
294.099,1.00,0,0,3,0.500,70.8
294.128,1.00,0,0,3,0.500,70.6
294.157,1.00,0,0,3,0.500,70.4
294.186,1.00,0,0,3,0.500,70.3
294.214,1.00,0,0,3,0.500,70.1
294.242,1.00,0,0,3,0.500,70.0
294.272,1.00,0,0,3,0.500,69.9
294.300,1.00,0,0,3,0.500,69.8
294.329,1.00,0,0,3,0.500,69.6
294.357,1.00,0,0,3,0.500,69.5
294.385,1.00,0,0,3,0.500,69.3
294.413,1.00,0,0,3,0.500,69.1
294.440,1.00,0,0,3,0.500,69.0
294.469,1.00,0,0,3,0.500,68.8
294.499,1.00,0,0,3,0.500,68.6
294.527,1.00,0,0,3,0.500,68.4
294.555,1.00,0,0,3,0.500,68.2
294.584,1.00,0,0,3,0.500,67.9
294.612,1.00,0,0,3,0.500,67.7
294.642,1.00,0,0,3,0.500,67.4
294.672,1.00,0,0,3,0.500,67.2
294.700,1.00,0,0,3,0.500,66.9
294.729,1.00,0,0,3,0.500,66.7
294.757,1.00,0,0,3,0.500,66.4
294.786,1.00,0,0,3,0.500,66.1
294.817,1.00,0,0,3,0.500,65.8
294.846,1.00,0,0,3,0.500,65.4
294.875,1.00,0,0,3,0.500,65.1
294.905,1.00,0,0,3,0.500,64.8
294.933,1.00,0,0,3,0.500,64.6
294.961,1.00,0,0,3,0.500,64.4
294.988,1.00,0,0,3,0.500,64.2
295.016,1.00,0,0,3,0.500,63.9
295.045,1.00,0,0,3,0.500,63.8
295.074,1.00,0,0,3,0.500,63.6
295.104,1.00,0,0,3,0.500,63.6
295.132,1.00,0,0,3,0.500,63.5
295.162,1.00,0,0,3,0.500,63.5
295.192,1.00,0,0,3,0.500,63.4
295.223,1.00,0,0,3,0.500,63.4
295.252,1.00,0,0,3,0.500,63.3
295.281,1.00,0,0,3,0.500,63.3
295.309,1.00,0,0,3,0.500,63.2
295.339,1.00,0,0,3,0.500,63.2
295.370,1.00,0,0,3,0.500,63.1
295.401,1.00,0,0,3,0.500,63.0
295.429,1.00,0,0,3,0.500,63.0
295.458,1.00,0,0,3,0.500,62.9
295.487,1.00,0,0,3,0.500,62.8
295.517,1.00,0,0,3,0.500,62.7
295.545,1.00,0,0,3,0.500,62.6
295.573,1.00,0,0,3,0.500,62.5
295.602,1.00,0,0,3,0.500,62.4
295.630,1.00,0,0,3,0.500,62.4
295.659,1.00,0,0,3,0.500,62.3
295.689,1.00,0,0,3,0.500,62.3
295.718,1.00,0,0,3,0.500,62.4
295.746,1.00,0,0,3,0.500,62.4
295.773,1.00,0,0,3,0.500,62.5
295.802,1.00,0,0,3,0.500,62.5
295.831,1.00,0,0,3,0.500,62.6
295.859,1.00,0,0,3,0.500,62.7
295.888,1.00,0,0,3,0.500,62.8
295.917,1.00,0,0,3,0.500,62.8
295.945,1.00,0,0,3,0.500,62.8
295.972,1.00,0,0,3,0.500,62.8
296.001,1.00,0,0,3,0.500,62.9
296.029,1.00,0,0,3,0.500,62.9
296.057,1.00,0,0,3,0.500,63.0
296.085,1.00,0,0,3,0.500,63.0
296.113,1.00,0,0,3,0.500,63.0
296.143,1.00,0,0,3,0.500,63.1
296.171,1.00,0,0,3,0.500,63.2
296.199,1.00,0,0,3,0.500,63.2
296.227,1.00,0,0,3,0.500,63.3
296.257,1.00,0,0,3,0.500,63.5
296.285,1.00,0,0,3,0.500,63.6
296.314,1.00,0,0,3,0.500,63.8
296.341,1.00,0,0,3,0.500,64.0
296.370,1.00,0,0,3,0.500,64.2
296.398,1.00,0,0,3,0.500,64.4
296.427,1.00,0,0,3,0.500,64.6
296.455,1.00,0,0,3,0.500,64.8
296.484,1.00,0,0,3,0.500,65.1
296.513,1.00,0,0,3,0.500,65.4
296.542,1.00,0,0,3,0.500,65.7
296.573,1.00,0,0,3,0.500,65.8
296.601,1.00,0,0,3,0.500,65.9
296.629,1.00,0,0,3,0.500,66.0
296.658,1.00,0,0,3,0.500,66.1
296.688,1.00,0,0,3,0.500,66.2
296.717,1.00,0,0,3,0.500,66.3
296.744,1.00,0,0,3,0.500,66.4
296.772,1.00,0,0,3,0.500,66.5
296.803,1.00,0,0,3,0.500,66.7
296.830,1.00,0,0,3,0.500,66.8
296.860,1.00,0,0,3,0.500,67.0
296.889,1.00,0,0,3,0.500,67.1
296.918,1.00,0,0,3,0.500,67.2
296.946,1.00,0,0,3,0.500,67.4
296.974,1.00,0,0,3,0.500,67.4
297.001,1.00,0,0,3,0.500,67.5
297.031,1.00,0,0,3,0.500,67.6
297.059,1.00,0,0,3,0.500,67.7
297.088,1.00,0,0,3,0.500,67.8
297.116,1.00,0,0,3,0.500,67.9
297.145,1.00,0,0,3,0.500,68.0
297.173,1.00,0,0,3,0.500,68.0
297.200,1.00,0,0,3,0.500,68.0
297.229,1.00,0,0,3,0.500,68.0
297.258,1.00,0,0,3,0.500,68.1
297.287,1.00,0,0,3,0.500,68.2
297.315,1.00,0,0,3,0.500,68.4
297.345,1.00,0,0,3,0.500,68.6
297.374,1.00,0,0,3,0.500,68.8
297.405,1.00,0,0,3,0.500,69.1
