time,alpha,bF,bR,walkMode,sideRotW,palmDotR,palmDotL,fingDotR
438.447,1.00,0,0,3,-1.000,-0.69,-1.00,0.20
438.478,1.00,0,0,3,-1.000,-0.69,-1.00,0.20
438.507,1.00,0,0,3,-1.000,-0.69,-1.00,0.20
438.537,1.00,0,0,3,-1.000,-0.69,-1.00,0.20
438.575,1.00,0,0,3,-1.000,-0.69,-1.00,0.20
438.604,1.00,0,0,3,-1.000,-0.69,-1.00,0.20
438.638,1.00,0,0,3,-1.000,-0.69,-1.00,0.20
438.668,1.00,0,0,3,-1.000,-0.69,-1.00,0.20
438.698,1.00,0,0,3,-1.000,-0.69,-1.00,0.20
438.728,1.00,0,0,3,-1.000,-0.69,-1.00,0.20
438.757,1.00,0,0,3,-1.000,-0.69,-1.00,0.20
438.787,1.00,0,0,3,-1.000,-0.69,-1.00,0.20
438.817,1.00,0,0,3,-1.000,-0.69,-1.00,0.20
438.847,1.00,0,0,3,-1.000,-0.69,-1.00,0.20
438.877,1.00,0,0,3,-1.000,-0.69,-1.00,0.20
438.906,1.00,0,0,3,-1.000,-0.69,-1.00,0.20
438.936,1.00,0,0,3,-1.000,-0.69,-1.00,0.20
438.966,1.00,0,0,3,-1.000,-0.69,-1.00,0.20
438.995,1.00,0,0,3,-1.000,-0.69,-1.00,0.20
439.027,1.00,0,0,3,-1.000,-0.69,-1.00,0.21
439.056,1.00,0,0,3,-1.000,-0.69,-1.00,0.21
439.085,1.00,0,0,3,-1.000,-0.69,-1.00,0.21
439.114,1.00,0,0,3,-1.000,-0.69,-1.00,0.21
439.144,1.00,0,0,3,-1.000,-0.69,-1.00,0.21
439.174,1.00,0,0,3,-1.000,-0.69,-1.00,0.21
439.204,1.00,0,0,3,-1.000,-0.69,-1.00,0.21
439.234,1.00,0,0,3,-1.000,-0.69,-1.00,0.21
439.264,1.00,0,0,3,-1.000,-0.69,-1.00,0.21
439.294,1.00,0,0,3,-1.000,-0.69,-1.00,0.21
439.324,1.00,0,0,3,-1.000,-0.69,-1.00,0.21
439.354,1.00,0,0,3,-1.000,-0.69,-1.00,0.21
439.384,1.00,0,0,3,-1.000,-0.69,-1.00,0.21
439.414,1.00,0,0,3,-1.000,-0.69,-1.00,0.20
439.444,1.00,0,0,3,-1.000,-0.69,-1.00,0.20
439.473,1.00,0,0,3,-1.000,-0.69,-1.00,0.20
439.504,1.00,0,0,3,-1.000,-0.69,-1.00,0.19
439.533,1.00,0,0,3,-1.000,-0.69,-1.00,0.19
439.563,1.00,0,0,3,-1.000,-0.69,-1.00,0.19
439.594,1.00,0,0,3,-1.000,-0.68,-1.00,0.19
439.625,1.00,0,0,3,-1.000,-0.68,-1.00,0.19
439.655,1.00,0,0,3,-1.000,-0.68,-1.00,0.19
439.684,1.00,0,0,3,-1.000,-0.68,-1.00,0.19
439.714,1.00,0,0,3,-1.000,-0.68,-1.00,0.19
439.743,1.00,0,0,3,-1.000,-0.68,-1.00,0.19
439.772,1.00,0,0,3,-1.000,-0.68,-1.00,0.19
439.802,1.00,0,0,3,-1.000,-0.68,-1.00,0.19
439.832,1.00,0,0,3,-1.000,-0.68,-1.00,0.19
439.862,1.00,0,0,3,-1.000,-0.68,-1.00,0.19
439.893,1.00,0,0,3,-1.000,-0.68,-1.00,0.19
439.922,1.00,0,0,3,-1.000,-0.68,-1.00,0.19
439.952,1.00,0,0,3,-1.000,-0.68,-1.00,0.19
439.982,1.00,0,0,3,-1.000,-0.68,-1.00,0.19
440.012,1.00,0,0,3,-1.000,-0.68,-1.00,0.19
440.042,1.00,0,0,3,-1.000,-0.68,-1.00,0.19
440.080,1.00,0,0,3,-1.000,-0.68,-1.00,0.19
440.117,1.00,0,0,3,-1.000,-0.68,-1.00,0.19
440.148,1.00,0,0,3,-1.000,-0.68,-1.00,0.19
440.178,1.00,0,0,3,-1.000,-0.68,-1.00,0.19
440.208,1.00,0,0,3,-1.000,-0.69,-1.00,0.18
440.237,1.00,0,0,3,-1.000,-0.69,-1.00,0.18
440.267,1.00,0,0,3,-1.000,-0.69,-1.00,0.18
440.297,1.00,0,0,3,-1.000,-0.69,-1.00,0.18
440.327,1.00,0,0,3,-1.000,-0.69,-1.00,0.18
440.357,1.00,0,0,3,-1.000,-0.69,-1.00,0.18
440.386,1.00,0,0,3,-1.000,-0.69,-1.00,0.18
440.415,1.00,0,0,3,-1.000,-0.69,-1.00,0.18
440.445,1.00,0,0,3,-1.000,-0.69,-1.00,0.18
440.474,1.00,0,0,3,-1.000,-0.69,-1.00,0.17
440.503,1.00,0,0,3,-1.000,-0.69,-1.00,0.17
440.532,1.00,0,0,3,-1.000,-0.69,-1.00,0.17
440.562,1.00,0,0,3,-1.000,-0.70,-1.00,0.17
440.591,1.00,0,0,3,-1.000,-0.70,-1.00,0.17
440.621,1.00,0,0,3,-1.000,-0.70,-1.00,0.17
440.650,1.00,0,0,3,-1.000,-0.70,-1.00,0.17
440.680,1.00,0,0,3,-1.000,-0.70,-1.00,0.17
440.709,1.00,0,0,3,-1.000,-0.70,-1.00,0.17
440.737,1.00,0,0,3,-1.000,-0.70,-1.00,0.17
440.767,1.00,0,0,3,-1.000,-0.70,-1.00,0.17
440.797,1.00,0,0,3,-1.000,-0.70,-1.00,0.17
440.827,1.00,0,0,3,-1.000,-0.70,-1.00,0.17
440.856,1.00,0,0,3,-1.000,-0.71,-1.00,0.17
440.886,1.00,0,0,3,-1.000,-0.71,-1.00,0.17
440.915,1.00,0,0,3,-1.000,-0.71,-1.00,0.16
440.946,1.00,0,0,3,-1.000,-0.71,-1.00,0.16
440.976,1.00,0,0,3,-1.000,-0.71,-1.00,0.16
441.006,1.00,0,0,3,-1.000,-0.71,-1.00,0.16
441.036,1.00,0,0,3,-1.000,-0.71,-1.00,0.16
441.065,1.00,0,0,3,-1.000,-0.71,-1.00,0.16
441.095,1.00,0,0,3,-1.000,-0.71,-1.00,0.16
441.124,1.00,0,0,3,-1.000,-0.71,-1.00,0.16
441.154,1.00,0,0,3,-1.000,-0.71,-1.00,0.16
441.183,1.00,0,0,3,-1.000,-0.71,-1.00,0.15
441.213,1.00,0,0,3,-1.000,-0.71,-1.00,0.15
441.243,1.00,0,0,3,-1.000,-0.71,-1.00,0.15
441.272,1.00,0,0,3,-1.000,-0.71,-1.00,0.15
441.303,1.00,0,0,3,-1.000,-0.71,-1.00,0.15
441.333,1.00,0,0,3,-1.000,-0.71,-1.00,0.15
441.362,1.00,0,0,3,-1.000,-0.71,-1.00,0.15
441.392,1.00,0,0,3,-1.000,-0.71,-1.00,0.15
441.421,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
441.452,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
441.481,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
441.512,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
441.543,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
441.572,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
441.603,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
441.632,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
441.663,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
441.693,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
441.723,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
441.752,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
441.783,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
441.814,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
441.844,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
441.873,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
441.906,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
441.936,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
441.966,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
441.996,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
442.027,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
442.056,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
442.085,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
442.115,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
442.144,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
442.174,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
442.204,1.00,0,0,3,-1.000,-0.72,-1.00,0.14
442.242,1.00,0,0,3,-1.000,-0.72,-1.00,0.14
442.272,1.00,0,0,3,-1.000,-0.72,-1.00,0.14
442.302,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
442.332,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
442.361,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
442.390,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
442.420,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
442.452,1.00,0,0,3,-1.000,-0.71,-1.00,0.14
